"Município de residência";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"412217 RIO BRANCO DO IVAI";-;2;-;-;-;1;3
"412220 RIO BRANCO DO SUL";16;13;10;9;4;8;60
"412230 RIO NEGRO";5;3;-;-;10;4;22
"412240 ROLANDIA";10;10;8;17;10;16;71
"412250 RONCADOR";2;2;8;1;3;1;17
"412260 RONDON";1;1;1;-;-;2;5
"412265 ROSARIO DO IVAI";-;1;-;1;2;4;8
"412270 SABAUDIA";1;1;2;1;1;1;7
"412280 SALGADO FILHO";-;-;-;1;1;-;2
"412290 SALTO DO ITARARE";-;1;-;-;1;2;4
"412300 SALTO DO LONTRA";3;3;3;3;2;4;18
"412310 SANTA AMELIA";2;4;-;2;1;2;11
"412320 SANTA CECILIA DO PAVAO";2;-;-;3;-;1;6
"412330 SANTA CRUZ DE MONTE CASTELO";-;-;3;-;1;2;6
"412340 SANTA FE";-;-;2;1;2;-;5
"412350 SANTA HELENA";2;1;1;6;2;3;15
"412370 SANTA ISABEL DO IVAI";2;2;2;5;8;-;19
"412380 SANTA IZABEL DO OESTE";3;-;1;3;-;1;8
"412382 SANTA LUCIA";-;-;-;1;-;-;1
"412385 SANTA MARIA DO OESTE";-;-;-;1;2;1;4
"412390 SANTA MARIANA";2;2;3;2;3;1;13
"412395 SANTA MONICA";-;-;-;-;1;1;2
"412400 SANTANA DO ITARARE";3;-;-;1;1;2;7
"412402 SANTA TEREZA DO OESTE";3;-;1;1;3;4;12
"412405 SANTA TEREZINHA DE ITAIPU";10;3;5;5;7;6;36
"412410 SANTO ANTONIO DA PLATINA";14;7;11;13;16;18;79
"412420 SANTO ANTONIO DO CAIUA";-;-;-;-;-;1;1
"412430 SANTO ANTONIO DO PARAISO";1;1;-;1;-;2;5
"412440 SANTO ANTONIO DO SUDOESTE";7;4;-;4;4;2;21
"412450 SANTO INACIO";1;1;1;-;3;4;10
"412460 SAO CARLOS DO IVAI";1;4;2;1;3;5;16
"412470 SAO JERONIMO DA SERRA";1;6;2;1;1;3;14
"412480 SAO JOAO";2;1;2;-;-;-;5
"412490 SAO JOAO DO CAIUA";1;1;1;3;1;3;10
"412500 SAO JOAO DO IVAI";1;-;-;-;2;4;7
"412510 SAO JOAO DO TRIUNFO";1;3;1;-;-;-;5
"412520 SAO JORGE D'OESTE";1;1;-;1;3;1;7
"412530 SAO JORGE DO IVAI";2;-;1;1;-;1;5
"412535 SAO JORGE DO PATROCINIO";1;2;3;-;4;1;11
"412540 SAO JOSE DA BOA VISTA";-;-;1;1;-;1;3
"412545 SAO JOSE DAS PALMEIRAS";-;1;-;-;-;-;1
"412550 SAO JOSE DOS PINHAIS";54;66;72;65;85;65;407
"412555 SAO MANOEL DO PARANA";-;-;1;1;-;-;2
"412560 SAO MATEUS DO SUL";5;5;6;-;6;-;22
"412570 SAO MIGUEL DO IGUACU";8;4;6;1;2;5;26
"412575 SAO PEDRO DO IGUACU";-;-;4;-;1;-;5
"412580 SAO PEDRO DO IVAI";-;1;2;-;1;7;11
"412590 SAO PEDRO DO PARANA";-;-;-;1;1;-;2
"412600 SAO SEBASTIAO DA AMOREIRA";1;4;2;3;-;5;15
"412610 SAO TOME";-;3;-;2;-;-;5
"412620 SAPOPEMA";1;-;-;-;-;-;1
"412625 SARANDI";34;19;38;34;47;33;205
"412627 SAUDADE DO IGUACU";1;1;2;-;2;1;7
"412630 SENGES";3;2;-;2;1;3;11
"412640 SERTANEJA";1;-;1;1;-;2;5
"412650 SERTANOPOLIS";4;4;1;2;-;4;15
"412660 SIQUEIRA CAMPOS";1;2;3;3;4;1;14
"412665 SULINA";-;1;-;1;-;-;2
"412667 TAMARANA";1;-;1;1;1;1;5
"412670 TAMBOARA";-;3;2;1;-;1;7
"412680 TAPEJARA";1;2;5;-;3;3;14
"412690 TAPIRA";1;2;1;-;2;1;7
"412700 TEIXEIRA SOARES";2;-;4;-;1;1;8
"412710 TELEMACO BORBA";18;23;21;23;28;16;129
"412720 TERRA BOA";-;5;3;2;1;1;12
"412730 TERRA RICA";3;2;1;5;3;2;16
"412740 TERRA ROXA";5;1;5;3;2;5;21
"412750 TIBAGI";4;2;3;5;8;4;26
"412760 TIJUCAS DO SUL";-;1;1;3;4;3;12
"412770 TOLEDO";22;25;22;19;30;24;142
"412780 TOMAZINA";1;2;1;-;2;3;9
"412785 TRES BARRAS DO PARANA";1;1;-;6;1;1;10
"412788 TUNAS DO PARANA";1;2;-;2;-;-;5
"412790 TUNEIRAS DO OESTE";2;2;1;4;-;2;11
"412795 TUPASSI";1;-;1;2;1;-;5
"412796 TURVO";-;1;1;1;-;1;4
"412800 UBIRATA";7;7;5;3;4;4;30
"412810 UMUARAMA";35;19;40;31;29;39;193
"412820 UNIAO DA VITORIA";15;15;14;11;15;14;84
"412830 UNIFLOR";-;-;-;1;-;-;1
"412840 URAI";-;4;2;1;2;3;12
"412850 WENCESLAU BRAZ";2;3;2;2;1;4;14
"412853 VENTANIA";1;1;1;5;2;2;12
"412855 VERA CRUZ DO OESTE";1;1;1;3;2;3;11
"412860 VERE";1;1;1;1;-;-;4
"412862 ALTO PARAISO";-;-;-;-;1;-;1
"412863 DOUTOR ULYSSES";-;-;1;-;-;-;1
"412865 VIRMOND";1;1;-;-;-;-;2
"412870 VITORINO";-;3;-;-;-;1;4
"412880 XAMBRE";-;1;-;2;-;-;3
"Total";2727;2656;2621;2489;2797;2938;16228
